No    	Event ID	Date	Origin Time	Latitude	Longitude	Depth(km)	xM	MD	ML	Mw	Ms	Mb	Type	Location
000001	20150510235807	2015.05.10	23:58:07.52	37.5965	32.5397	008.3	1.9	0.0	1.9		0.0	0.0	Ke	SECME-CUMRA (KONYA) [North East  3.7 km]
000002	20150510231922	2015.05.10	23:19:22.58	36.9513	36.0523	010.7	2.2	0.0	2.2		0.0	0.0	Ke	YUKARIBURNAZ-ERZIN (HATAY) [North West  0.9 km]
000003	20150510225157	2015.05.10	22:51:57.69	37.3092	36.1008	014.3	1.6	0.0	1.6		0.0	0.0	Ke	CIGCIK-KADIRLI (OSMANIYE) [North 1.4 km]
000004	20150510182944	2015.05.10	18:29:44.56	37.3992	36.0775	023.1	1.7	0.0	1.7		0.0	0.0	Ke	YUSUFIZZETTIN-KADIRLI (OSMANIYE) [South 0.9 km]
000005	20150510101115	2015.05.10	10:11:15.81	37.0515	35.5337	008.7	1.6	0.0	1.6		0.0	0.0	Ke	HASANBEYLI-SARICAM (ADANA) [North West  0.4 km]
000006	20150509214813	2015.05.09	21:48:13.32	37.6813	32.5975	018.6	1.6	0.0	1.6		0.0	0.0	Ke	ICERICUMRA-CUMRA (KONYA) [North West  12.5 km]
000007	20150509130203	2015.05.09	13:02:03.27	38.1013	36.3153	013.4	1.7	0.0	1.7		0.0	0.0	Ke	KIRAZLIYURT-TUFANBEYLI (ADANA) [North East  2.4 km]
000008	20150509122848	2015.05.09	12:28:48.73	36.9002	34.8912	027.3	1.7	0.0	1.7		0.0	0.0	Ke	TARSUS (MERSIN) [South 1.3 km]
000009	20150509093944	2015.05.09	09:39:44.71	37.0878	34.7012	000.0	1.4	0.0	1.4		0.0	0.0	Sm	SARIKOYAK-CAMLIYAYLA (MERSIN) [South West  2.2 km]
000010	20150509085227	2015.05.09	08:52:27.88	37.9012	36.0032	005.6	1.9	0.0	1.9		0.0	0.0	Ke	CUMHURLU-SAIMBEYLI (ADANA) [South West  1.4 km]
000011	20150508125443	2015.05.08	12:54:43.76	36.5510	34.1292	000.0	1.8	0.0	1.8		0.0	0.0	Sm	KARAAHMETLI-ERDEMLI (MERSIN) [North East  0.3 km]
000012	20150508023029	2015.05.08	02:30:29.32	37.6667	35.6073	007.9	1.4	0.0	1.4		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [South West  2.9 km]
000013	20150507211304	2015.05.07	21:13:04.74	37.8900	36.0418	001.7	1.9	0.0	1.9		0.0	0.0	Ke	CUMHURLU-SAIMBEYLI (ADANA) [South East  3.1 km]
000014	20150507204422	2015.05.07	20:44:22.69	37.6900	35.6187	004.1	1.3	0.0	1.3		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [North West  1.8 km]
000015	20150507190019	2015.05.07	19:00:19.54	38.8667	32.7957	012.8	1.4	0.0	1.4		0.0	0.0	Ke	YENICEOBA-CIHANBEYLI (KONYA) [South East  0.6 km]
000016	20150507091310	2015.05.07	09:13:10.61	37.0538	32.2303	012.3	1.9	0.0	1.9		0.0	0.0	Ke	SOGUCAK-BOZKIR (KONYA) [South West  5.8 km]
