Time,Latitude,Longitude,Depth,Magnitude,Magnitude_type
2013-05-20T11:25:27.170000Z,38.8885,35.7608,3.2,1.8,ML
2013-05-20T19:29:33.540000Z,38.393,33.4125,8.9,2.4,ML
2013-05-21T00:50:10.750000Z,38.3997,33.4025,9.9,2.4,ML
2013-05-21T04:25:54.410000Z,37.5192,35.6612,5.4,2.2,ML
2013-05-21T15:13:19.130000Z,38.745,32.9388,17.1,1.6,ML
2013-05-21T21:56:06.090000Z,37.6137,36.4317,5.3,2.5,ML
2013-05-22T14:02:27.150000Z,37.4563,35.676,1.4,2.6,ML
2013-05-23T05:21:17.840000Z,39.0163,35.847,6.7,2.3,ML
2013-05-23T13:03:07.360000Z,38.6355,35.6838,5.4,2.2,ML
2013-05-23T21:06:33.830000Z,37.5112,35.673,5.3,2.4,ML
2013-05-23T21:09:14.930000Z,37.5413,35.669,5.2,2.2,ML
2013-05-23T21:12:01.990000Z,37.5572,35.6745,11.6,1.7,ML
2013-05-24T04:46:56.940000Z,38.421,33.4328,7.7,1.8,ML
2013-05-25T09:46:48.980000Z,38.0468,34.9028,4.8,2.2,ML
2013-05-25T10:49:16.240000Z,38.4323,35.8168,17.8,2.4,ML
2013-05-25T11:15:19.500000Z,39.6727,35.606,5.4,1.8,ML
2013-05-25T13:06:33.830000Z,37.9713,34.74,9.3,2.3,ML
2013-05-25T23:57:48.990000Z,38.3572,33.402,18.0,1.7,ML
2013-05-27T08:32:46.950000Z,37.1867,34.7693,2.0,1.7,ML
2013-05-27T09:40:50.180000Z,38.1975,32.3102,1.9,2.0,ML
2013-05-27T10:38:01.490000Z,38.1273,32.672,6.3,1.8,ML
2013-05-27T14:44:00.510000Z,38.9752,34.9882,1.2,2.2,ML
2013-05-27T23:40:48.240000Z,38.4092,33.4483,7.7,2.0,ML
2013-05-28T11:32:09.650000Z,37.4712,36.357,3.8,2.2,ML
2013-05-28T12:01:43.240000Z,38.3962,33.4077,8.4,2.7,ML
2013-05-28T14:19:12.250000Z,38.6485,35.7678,3.4,2.0,ML
2013-05-28T19:18:08.560000Z,38.3863,33.398,14.1,2.2,ML
2013-05-28T19:42:33.490000Z,38.4023,33.435,14.4,1.6,ML
2013-05-29T02:39:24.970000Z,38.3853,33.3957,11.7,1.7,ML
2013-05-29T03:22:47.810000Z,38.4175,33.4395,12.9,1.6,ML
2013-05-29T07:07:38.230000Z,38.3885,33.432,13.6,1.8,ML
2013-05-29T12:02:24.670000Z,39.0923,34.2398,1.4,2.3,ML
2013-05-29T13:46:08.540000Z,38.4117,33.5103,7.9,1.8,ML
2013-05-29T16:12:47.990000Z,38.1107,32.6442,10.0,1.8,ML
2013-05-30T06:16:30.990000Z,38.75,33.9658,6.8,2.2,ML
2013-05-30T09:01:36.240000Z,38.9618,33.9062,4.9,2.1,ML
2013-05-30T16:23:42.670000Z,38.4457,35.075,8.3,1.8,ML
2013-05-31T13:39:39.680000Z,39.4707,33.5025,1.9,2.4,ML
2013-05-31T22:22:32.610000Z,37.4547,35.6837,3.9,1.6,ML
2013-05-31T23:57:53.120000Z,38.4013,33.3702,6.5,2.1,ML
2013-06-01T16:00:37.440000Z,37.0867,34.6827,3.8,2.5,ML
2013-06-02T05:30:15.310000Z,37.0683,34.4602,15.0,1.9,ML
2013-06-02T10:39:29.140000Z,37.2385,36.2427,3.8,2.0,ML
2013-06-03T13:23:48.740000Z,38.342,34.0643,7.5,2.2,ML
2013-06-03T17:48:43.060000Z,39.5417,33.8533,13.0,2.1,ML
2013-06-04T13:11:45.560000Z,38.7343,35.7853,6.3,1.9,ML
2013-06-05T08:35:02.250000Z,38.9545,34.9397,5.3,2.0,ML
