No    	Event ID	Date	Origin Time	Latitude	Longitude	Depth(km)	xM	MD	ML	Mw	Ms	Mb	Type	Location
000001	20150510101115	2015.05.10	10:11:15.81	37.0515	35.5337	008.7	1.6	0.0	1.6		0.0	0.0	Ke	HASANBEYLI-SARICAM (ADANA) [North West  0.4 km]
000002	20150507033932	2015.05.07	03:39:32.30	37.6678	35.6067	005.4	1.7	0.0	1.7		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [  2.85 km]
000003	20150507025510	2015.05.07	02:55:10.91	37.6953	35.6162	005.3	1.5	0.0	1.5		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [North West  2.3 km]
000004	20150506105003	2015.05.06	10:50:03.75	37.9918	34.6260	000.0	2.0	0.0	2.0		0.0	0.0	Sm	HANCERLI- (NIGDE) [South East  1.4 km]
000005	20150506091859	2015.05.06	09:18:59.58	37.4358	34.4872	006.0	2.1	0.0	2.1		0.0	0.0	Ke	EMIRLER-ULUKISLA (NIGDE) [South West  4.8 km]
000006	20150505180404	2015.05.05	18:04:04.73	37.0255	35.5638	009.3	2.2	0.0	2.2		0.0	0.0	Ke	CIHADIYE-SARICAM (ADANA) [South 2.8 km]
000007	20150505112757	2015.05.05	11:27:57.58	38.0152	34.3503	012.9	2.2	0.0	2.2		0.0	0.0	Ke	YAKACIK-ALTUNHISAR (NIGDE) [South East  1.5 km]
000008	20150505055926	2015.05.05	05:59:26.63	37.6560	35.6070	014.8	1.8	0.0	1.8		0.0	0.0	Ke	ERGENUSAGI-KOZAN (ADANA) [North East  2.7 km]
000009	20150505022212	2015.05.05	02:22:12.85	37.6450	35.5880	010.5	2.3	0.0	2.3		0.0	0.0	Ke	ERGENUSAGI-KOZAN (ADANA) [North West  1.3 km]
000010	20150505005804	2015.05.05	00:58:04.13	37.1135	34.5235	011.1	1.8	0.0	1.8		0.0	0.0	Ke	ALANYALI-TOROSLAR (MERSIN) [North East  2.7 km]
000011	20150504212755	2015.05.04	21:27:55.71	37.6860	35.6015	012.1	1.7	0.0	1.7		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [North West  3.0 km]
000012	20150504104437	2015.05.04	10:44:37.26	38.0072	35.6148	003.1	2.0	0.0	2.0		0.0	0.0	Ke	KARAKOY-YAHYALI (KAYSERI) [South East  4.4 km]
000013	20150503030528	2015.05.03	03:05:28.16	37.7122	35.6192	005.0	2.6	0.0	2.6		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [North West  3.8 km]
000014	20150502143022	2015.05.02	14:30:22.84	38.3903	34.2767	005.7	1.8	0.0	1.8		0.0	0.0	Ke	DEMIRCI-GULAGAC (AKSARAY) [North West  1.6 km]
000015	20150501073532	2015.05.01	07:35:32.45	38.6407	34.7683	000.0	1.9	0.0	1.9		0.0	0.0	Sm	UCHISAR- (NEVSEHIR) [North West  2.9 km]
000016	20150430174427	2015.04.30	17:44:27.93	37.1687	35.9603	017.6	2.1	0.0	2.1		0.0	0.0	Ke	KOSRELI-CEYHAN (ADANA) [  1.69 km]
000017	20150430115414	2015.04.30	11:54:14.89	37.6220	35.4420	018.1	1.7	0.0	1.7		0.0	0.0	Ke	DARILIK-ALADAG (ADANA) [North West  3.6 km]
000018	20150430112337	2015.04.30	11:23:37.39	37.1060	34.6760	009.0	1.8	0.0	1.8		0.0	0.0	Ke	SARIKAVAK-CAMLIYAYLA (MERSIN) [South West  0.9 km]
000019	20150430023507	2015.04.30	02:35:07.51	37.8245	35.0982	011.1	1.6	0.0	1.6		0.0	0.0	Ke	CUKURBAG-CAMARDI (NIGDE) [  3.69 km]
000020	20150430022737	2015.04.30	02:27:37.57	37.6882	35.6080	005.7	1.7	0.0	1.7		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [North West  2.5 km]
000021	20150429104850	2015.04.29	10:48:50.45	38.0628	35.6073	011.6	1.8	0.0	1.8		0.0	0.0	Ke	KARAKOY-YAHYALI (KAYSERI) [North East  3.1 km]
000022	20150429024709	2015.04.29	02:47:09.66	37.1660	35.8853	026.4	1.6	0.0	1.6		0.0	0.0	Ke	ELMAGOLU-CEYHAN (ADANA) [West 1.3 km]
000023	20150428052145	2015.04.28	05:21:45.48	37.6750	35.6075	018.0	1.5	0.0	1.5		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [South West  2.5 km]
000024	20150427145907	2015.04.27	14:59:07.34	37.1182	34.6400	008.4	1.6	0.0	1.6		0.0	0.0	Ke	KORMENLIK-CAMLIYAYLA (MERSIN) [North East  0.8 km]
000025	20150427125818	2015.04.27	12:58:18.54	37.0498	34.8987	017.8	1.5	0.0	1.5		0.0	0.0	Ke	SAGLIKLI-TARSUS (MERSIN) [North West  1.8 km]
000026	20150426104652	2015.04.26	10:46:52.85	38.0283	35.6077	005.0	1.8	0.0	1.8		0.0	0.0	Ke	KARAKOY-YAHYALI (KAYSERI) [South East  2.3 km]
000027	20150425162116	2015.04.25	16:21:16.02	37.6820	35.5938	005.4	1.6	0.0	1.6		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [West 3.6 km]
000028	20150424133431	2015.04.24	13:34:31.90	38.3173	34.2063	006.0	1.5	0.0	1.5		0.0	0.0	Ke	UZUNKAYA-GUZELYURT (AKSARAY) [North West  2.9 km]
000029	20150424080535	2015.04.24	08:05:35.30	38.6450	35.7778	000.0	2.2	0.0	2.2		0.0	0.0	Sm	KAMBER-TALAS (KAYSERI) [North East  1.0 km]
000030	20150422121008	2015.04.22	12:10:08.95	38.4462	34.2975	008.3	1.7	0.0	1.7		0.0	0.0	Ke	AKMEZAR-GULAGAC (AKSARAY) [South West  2.2 km]
000031	20150422105800	2015.04.22	10:58:00.76	38.0088	35.6372	004.1	1.8	0.0	1.8		0.0	0.0	Ke	KARAKOY-YAHYALI (KAYSERI) [South East  5.6 km]
000032	20150422105705	2015.04.22	10:57:05.39	38.0018	35.6285	005.0	1.5	0.0	1.5		0.0	0.0	Ke	KARAKOY-YAHYALI (KAYSERI) [South East  5.6 km]
000033	20150422105621	2015.04.22	10:56:21.23	37.9522	35.6462	003.7	1.6	0.0	1.6		0.0	0.0	Ke	ORUCLU-FEKE (ADANA) [North West  4.9 km]
000034	20150421100846	2015.04.21	10:08:46.51	38.7423	35.2635	000.0	1.7	0.0	1.7		0.0	0.0	Sm	SARAYCIK-INCESU (KAYSERI) [North West  2.2 km]
000035	20150420142822	2015.04.20	14:28:22.49	37.2158	35.8073	008.8	1.8	0.0	1.8		0.0	0.0	Ke	CATALHUYUK-CEYHAN (ADANA) [North West  2.2 km]
000036	20150420135306	2015.04.20	13:53:06.18	37.3448	35.0405	003.3	1.8	0.0	1.8		0.0	0.0	Ke	GILDIRLI-KARAISALI (ADANA) [South West  2.0 km]
000037	20150420104947	2015.04.20	10:49:47.65	38.0065	35.6398	012.2	1.8	0.0	1.8		0.0	0.0	Ke	KARAKOY-YAHYALI (KAYSERI) [South East  6.0 km]
000038	20150420023145	2015.04.20	02:31:45.39	38.7827	33.5275	019.2	1.7	0.0	1.7		0.0	0.0	Ke	KARAMOLLAUSAGI-SEREFLIKOCHISAR (ANKARA) [South 6.5 km]
000039	20150419164532	2015.04.19	16:45:32.13	37.6627	35.6137	005.4	2.0	0.0	2.0		0.0	0.0	Ke	MARANKECILI-KOZAN (ADANA) [  2.72 km]
000040	20150418120234	2015.04.18	12:02:34.78	38.0808	35.3840	005.0	2.1	0.0	2.1		0.0	0.0	Ke	YAHYALI (KAYSERI) [South East  3.0 km]
000041	20150418092918	2015.04.18	09:29:18.87	37.1275	34.6435	009.2	1.8	0.0	1.8		0.0	0.0	Ke	KORMENLIK-CAMLIYAYLA (MERSIN) [North East  1.7 km]
000042	20150417131855	2015.04.17	13:18:55.14	38.9367	33.7240	006.7	1.6	0.0	1.6		0.0	0.0	Ke	TORUNOBASI-EVREN (ANKARA) [South East  2.1 km]
000043	20150417103739	2015.04.17	10:37:39.10	38.2665	33.9548	005.0	2.1	0.0	2.1		0.0	0.0	Ke	KUTLU- (AKSARAY) [South East  9.1 km]
000044	20150417085224	2015.04.17	08:52:24.76	37.0687	34.8755	012.1	1.8	0.0	1.8		0.0	0.0	Ke	GOCUK-TARSUS (MERSIN) [South East  1.8 km]
000045	20150416140419	2015.04.16	14:04:19.43	37.6342	35.6033	005.4	2.3	0.0	2.3		0.0	0.0	Ke	ERGENUSAGI-KOZAN (ADANA) [East 0.8 km]
000046	20150416104755	2015.04.16	10:47:55.69	37.9810	35.6420	005.0	1.6	0.0	1.6		0.0	0.0	Ke	ORUCLU-FEKE (ADANA) [North West  7.2 km]
000047	20150414195920	2015.04.14	19:59:20.23	37.0303	35.6325	016.1	2.1	0.0	2.1		0.0	0.0	Ke	UNLUCE-SARICAM (ADANA) [South West  5.3 km]
000048	20150414132459	2015.04.14	13:24:59.09	38.0090	34.6562	000.0	1.9	0.0	1.9		0.0	0.0	Sm	YESILBURC- (NIGDE) [South West  1.1 km]
000049	20150413225508	2015.04.13	22:55:08.33	37.1365	34.5302	007.3	1.7	0.0	1.7		0.0	0.0	Ke	SEBIL-CAMLIYAYLA (MERSIN) [North West  3.0 km]
000050	20150412062332	2015.04.12	06:23:32.00	38.4923	35.1018	006.9	1.8	0.0	1.8		0.0	0.0	Ke	GULBAYIR-YESILHISAR (KAYSERI) [North East  5.7 km]
000051	20150411152307	2015.04.11	15:23:07.74	38.6958	33.6437	008.3	2.9	0.0	2.9		0.0	0.0	Ke	CALOREN-SEREFLIKOCHISAR (ANKARA) [South West  9.9 km]
000052	20150410124401	2015.04.10	12:44:01.98	37.6322	35.4287	007.6	1.8	0.0	1.8		0.0	0.0	Ke	DARILIK-ALADAG (ADANA) [North West  5.2 km]
000053	20150408111129	2015.04.08	11:11:29.42	38.6452	35.7987	000.0	1.9	0.0	1.9		0.0	0.0	Sm	CEVLIK-TALAS (KAYSERI) [North East  2.6 km]
000054	20150406233159	2015.04.06	23:31:59.27	38.8265	33.3878	008.1	1.8	0.0	1.8		0.0	0.0	Ke	HAMZALI-SEREFLIKOCHISAR (ANKARA) [South West  7.6 km]
000055	20150406225521	2015.04.06	22:55:21.43	37.1117	34.5617	008.0	1.6	0.0	1.6		0.0	0.0	Ke	SEBIL-CAMLIYAYLA (MERSIN) [South 2.0 km]
000056	20150406094756	2015.04.06	09:47:56.03	38.8373	35.8678	000.0	1.5	0.0	1.5		0.0	0.0	Sm	BUNYAN (KAYSERI) [South East  2.4 km]
000057	20150406043544	2015.04.06	04:35:44.27	37.1257	34.5297	009.2	2.8	0.0	2.8		0.0	0.0	Ke	SEBIL-CAMLIYAYLA (MERSIN) [West 3.0 km]
000058	20150405222152	2015.04.05	22:21:52.01	37.8293	35.0822	010.3	1.6	0.0	1.6		0.0	0.0	Ke	CUKURBAG-CAMARDI (NIGDE) [South East  2.2 km]
000059	20150405005227	2015.04.05	00:52:27.71	37.8477	35.0872	012.8	1.8	0.0	1.8		0.0	0.0	Ke	DEMIRKAZIK-CAMARDI (NIGDE) [South West  1.6 km]
000060	20150404193131	2015.04.04	19:31:31.64	37.8302	35.0808	010.9	1.7	0.0	1.7		0.0	0.0	Ke	CUKURBAG-CAMARDI (NIGDE) [South East  2.0 km]
000061	20150404111525	2015.04.04	11:15:25.13	37.8293	35.0985	009.2	2.0	0.0	2.0		0.0	0.0	Ke	CUKURBAG-CAMARDI (NIGDE) [South East  3.5 km]
000062	20150404075418	2015.04.04	07:54:18.31	37.5185	35.6982	009.3	2.8	0.0	2.8		0.0	0.0	Ke	KIZILLAR-KOZAN (ADANA) [North West  1.0 km]
000063	20150403062839	2015.04.03	06:28:39.02	37.0567	34.8793	015.9	1.8	0.0	1.8		0.0	0.0	Ke	GOCUK-TARSUS (MERSIN) [South East  3.1 km]
000064	20150401141230	2015.04.01	14:12:30.01	38.9593	33.7145	004.4	1.7	0.0	1.7		0.0	0.0	Ke	TORUNOBASI-EVREN (ANKARA) [North East  0.7 km]
000065	20150330184633	2015.03.30	18:46:33.71	37.6943	33.5693	003.2	1.9	0.0	1.9		0.0	0.0	Ke	KARAPINAR (KONYA) [South East  3.1 km]
000066	20150330082207	2015.03.30	08:22:07.53	38.6470	35.7640	000.0	1.6	0.0	1.6		0.0	0.0	Sm	KAMBER-TALAS (KAYSERI) [North West  0.7 km]
000067	20150329151604	2015.03.29	15:16:04.69	37.2645	35.4723	017.7	2.2	0.0	2.2		0.0	0.0	Ke	CORTEN-IMAMOGLU (ADANA) [West 2.1 km]
000068	20150328104339	2015.03.28	10:43:39.86	38.8775	35.6305	005.2	2.8	0.0	2.8		0.0	0.0	Ke	CAVUSAGA-KOCASINAN (KAYSERI) [West 5.0 km]
000069	20150328060558	2015.03.28	06:05:58.43	38.6820	35.6903	005.0	1.7	0.0	1.7		0.0	0.0	Ke	KAMBER-TALAS (KAYSERI) [North West  8.1 km]
000070	20150328060539	2015.03.28	06:05:39.45	38.8628	35.6373	003.3	1.9	0.0	1.9		0.0	0.0	Ke	CAVUSAGA-KOCASINAN (KAYSERI) [South West  4.7 km]
000071	20150327130204	2015.03.27	13:02:04.33	37.6245	35.5982	006.3	2.3	0.0	2.3		0.0	0.0	Ke	ERGENUSAGI-KOZAN (ADANA) [  1.15 km]
000072	20150326145428	2015.03.26	14:54:28.54	38.8900	35.6188	002.4	2.2	0.0	2.2		0.0	0.0	Ke	SARAYCIK-KOCASINAN (KAYSERI) [South West  5.4 km]
000073	20150326022306	2015.03.26	02:23:06.36	38.8912	35.6070	005.0	3.5	0.0	3.5		0.0	0.0	Ke	SARAYCIK-KOCASINAN (KAYSERI) [South West  6.2 km]
000074	20150325140529	2015.03.25	14:05:29.74	37.6558	35.4423	004.3	1.5	0.0	1.5		0.0	0.0	Ke	KUP-ALADAG (ADANA) [South West  5.3 km]
000075	20150324092520	2015.03.24	09:25:20.75	38.2968	34.1033	005.2	1.5	0.0	1.5		0.0	0.0	Ke	AKHISAR- (AKSARAY) [North East  0.7 km]
000076	20150322121007	2015.03.22	12:10:07.53	38.4665	35.1777	015.6	1.6	0.0	1.6		0.0	0.0	Ke	SEYHSABAN-INCESU (KAYSERI) [West 4.6 km]
000077	20150322043354	2015.03.22	04:33:54.62	37.1068	35.7788	022.5	2.2	0.0	2.2		0.0	0.0	Ke	MERCIMEK-CEYHAN (ADANA) [West 1.5 km]
000078	20150321195100	2015.03.21	19:51:00.90	37.8243	35.0948	007.6	1.6	0.0	1.6		0.0	0.0	Ke	CUKURBAG-CAMARDI (NIGDE) [South East  3.4 km]
000079	20150320142054	2015.03.20	14:20:54.41	38.6645	35.6607	000.0	1.8	0.0	1.8		0.0	0.0	Sm	ARDIC-TALAS (KAYSERI) [North West  7.9 km]
000080	20150320142021	2015.03.20	14:20:21.76	38.9797	33.7077	003.2	1.7	0.0	1.7		0.0	0.0	Ke	IBRAHIMBEYLI-EVREN (ANKARA) [North East  1.4 km]
000081	20150320091254	2015.03.20	09:12:54.93	37.3067	35.6880	027.0	2.7	0.0	2.7		0.0	0.0	Ke	AGZIKARACA-IMAMOGLU (ADANA) [South East  1.6 km]
000082	20150319112043	2015.03.19	11:20:43.97	37.7058	35.6630	004.7	1.5	0.0	1.5		0.0	0.0	Ke	KALKUMAC-KOZAN (ADANA) [South West  0.3 km]
000083	20150319091041	2015.03.19	09:10:41.19	38.1440	34.2125	005.0	2.2	0.0	2.2		0.0	0.0	Ke	YENIPINAR- (AKSARAY) [South West  5.0 km]
000084	20150319074108	2015.03.19	07:41:08.43	37.5677	35.5745	005.1	2.4	0.0	2.4		0.0	0.0	Ke	AKDAM-KOZAN (ADANA) [North West  4.3 km]
000085	20150316180509	2015.03.16	18:05:09.56	38.8098	34.0375	013.7	1.6	0.0	1.6		0.0	0.0	Ke	GOKLER-ORTAKOY (AKSARAY) [North West  2.4 km]
000086	20150315231033	2015.03.15	23:10:33.85	37.9228	33.9208	015.8	1.8	0.0	1.8		0.0	0.0	Ke	BELKAYA-EREGLI (KONYA) [North East  0.9 km]
000087	20150314144628	2015.03.14	14:46:28.13	38.9382	33.6987	010.3	1.7	0.0	1.7		0.0	0.0	Ke	CINGIL-SEREFLIKOCHISAR (ANKARA) [North East  1.7 km]
000088	20150314120422	2015.03.14	12:04:22.66	38.5008	35.1012	011.6	1.6	0.0	1.6		0.0	0.0	Ke	BASDERE-URGUP (NEVSEHIR) [South East  6.1 km]
000089	20150309120014	2015.03.09	12:00:14.30	37.9125	34.8030	000.0	1.6	0.0	1.6		0.0	0.0	Sm	OZYURT- (NIGDE) [South West  7.0 km]
000090	20150307152204	2015.03.07	15:22:04.64	38.9532	33.7103	005.5	1.5	0.0	1.5		0.0	0.0	Ke	TORUNOBASI-EVREN (ANKARA) [West 0.2 km]
000091	20150307065955	2015.03.07	06:59:55.00	37.9362	35.1750	009.0	2.1	0.0	2.1		0.0	0.0	Ke	PINARBASI-CAMARDI (NIGDE) [North East  8.2 km]
000092	20150228222927	2015.02.28	22:29:27.22	37.4353	34.5103	006.0	2.9	0.0	2.9		0.0	0.0	Ke	EMIRLER-ULUKISLA (NIGDE) [South 4.3 km]
000093	20150228220340	2015.02.28	22:03:40.81	37.4565	34.4997	009.5	3.0	0.0	3.0		0.0	0.0	Ke	EMIRLER-ULUKISLA (NIGDE) [South West  2.2 km]
000094	20150228163459	2015.02.28	16:34:59.62	37.5462	35.6923	006.5	2.1	0.0	2.1		0.0	0.0	Ke	KIZILLAR-KOZAN (ADANA) [North West  3.8 km]
000095	20150228142858	2015.02.28	14:28:58.16	37.0797	34.6538	008.3	2.1	0.0	2.1		0.0	0.0	Ke	KESECIK-CAMLIYAYLA (MERSIN) [South East  2.7 km]
000096	20150228002345	2015.02.28	00:23:45.12	37.0532	34.5038	008.1	2.1	0.0	2.1		0.0	0.0	Ke	GUZELYAYLA-TOROSLAR (MERSIN) [East 1.0 km]
000097	20150227223008	2015.02.27	22:30:08.38	37.1893	35.5617	015.6	2.1	0.0	2.1		0.0	0.0	Ke	HAKKIBEYLI-SARICAM (ADANA) [North West  2.3 km]
000098	20150227213415	2015.02.27	21:34:15.87	37.1728	35.5490	012.2	1.9	0.0	1.9		0.0	0.0	Ke	HAKKIBEYLI-SARICAM (ADANA) [North West  1.9 km]
000099	20150227203229	2015.02.27	20:32:29.06	37.5892	35.7207	004.7	1.5	0.0	1.5		0.0	0.0	Ke	KUYTUCAK-KOZAN (ADANA) [North East  0.9 km]
000100	20150227173343	2015.02.27	17:33:43.42	37.5612	35.6975	006.5	2.2	0.0	2.2		0.0	0.0	Ke	KUYTUCAK-KOZAN (ADANA) [South West  3.1 km]
000101	20150227141322	2015.02.27	14:13:22.74	38.4817	35.2110	007.8	2.1	0.0	2.1		0.0	0.0	Ke	SEYHSABAN-INCESU (KAYSERI) [North West  2.9 km]
