Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"08/05/2015 02:30:29",35.5546,37.6365,7,0.28,"ML",1.3,"Aladağ (Adana)",296886
"07/05/2015 16:19:14",34.0516,38.3396,6.85,0.78,"ML",1.4,"Merkez (Aksaray)",296851
"07/05/2015 15:28:48",33.0525,38.09,6.96,0.56,"ML",2,"Karatay (Konya)",296845
"07/05/2015 03:39:32",35.5636,37.653,7.01,0.98,"ML",1.4,"Aladağ (Adana)",296816
"07/05/2015 02:55:11",35.6183,37.6215,7,0.24,"ML",1.4,"Kozan (Adana)",296813
"06/05/2015 17:28:54",35.5463,37.6093,7,0.16,"ML",1.2,"Aladağ (Adana)",296787
"06/05/2015 10:50:05",34.5283,38.0411,9.51,0.83,"ML",1.3,"Bor (Niğde)",296773
"06/05/2015 09:19:00",34.5238,37.425,7.08,0.17,"ML",1.7,"Ulukışla (Niğde)",296767
"06/05/2015 01:48:09",35.9926,37.2626,7,0.23,"ML",1.7,"Kadirli (Osmaniye)",296749
"05/05/2015 11:27:58",34.3246,38.0165,6.91,0.66,"ML",1.5,"Altunhisar (Niğde)",296698
"05/05/2015 02:22:13",35.5613,37.6223,7,0.16,"ML",1.8,"Aladağ (Adana)",296672
"05/05/2015 00:58:04",34.5791,37.0718,7,0.15,"ML",1.3,"Toroslar (Mersin)",296671
"04/05/2015 21:27:56",35.5511,37.6256,7,0.18,"ML",1.4,"Aladağ (Adana)",296665
"03/05/2015 03:05:28",35.616,37.67,5.1,0.6,"ML",2.6,"Kozan (Adana)",296540
"01/05/2015 18:18:43",35.5665,37.6485,7,0.41,"ML",1.2,"Aladağ (Adana)",296424
"01/05/2015 17:41:08",34.8056,37.0755,8.04,0.24,"ML",1.5,"Tarsus (Mersin)",296420
"01/05/2015 16:02:06",34.0295,38.452,6.97,0.56,"ML",1.4,"Merkez (Aksaray)",296411
"01/05/2015 07:35:32",34.716,38.6791,7.04,0.37,"ML",1.7,"Merkez (Nevşehir)",296373
